touch_id,customer_id,touch_date,channel,campaign_name,outcome
CT000000154,CUST000006,2023-06-01,SMS,Subscribe & Save,Ignored
CT000000155,CUST000006,2023-03-05,Search Ads,Seasonal Sale,Ignored
CT000000156,CUST000006,2023-05-01,Email,Cart Abandon Reminder,Ignored
CT000000157,CUST000006,2025-09-21,Email,Health Bundle Offer,Ignored
CT000000158,CUST000006,2024-06-20,Push,Cart Abandon Reminder,Ignored
CT000000159,CUST000006,2023-05-22,Social Ads,Cart Abandon Reminder,Clicked
CT000000160,CUST000006,2024-01-17,Email,Cart Abandon Reminder,Ignored
CT000000161,CUST000006,2023-12-10,Push,New Launch Promo,Ignored
CT000000162,CUST000006,2023-05-15,Search Ads,New Launch Promo,Ignored
CT000000163,CUST000006,2023-10-12,SMS,Seasonal Sale,Ignored
CT000000164,CUST000006,2025-12-15,Social Ads,Subscribe & Save,Ignored
CT000000165,CUST000006,2025-12-07,SMS,Loyalty Bonus,Clicked
CT000000166,CUST000006,2023-05-16,SMS,Weekend Deal,Ignored
CT000000167,CUST000006,2023-03-02,Email,Seasonal Sale,Ignored
CT000000168,CUST000006,2023-05-08,Social Ads,Loyalty Bonus,Ignored
CT000000169,CUST000006,2023-04-18,Email,Weekend Deal,Ignored
CT000000170,CUST000006,2023-05-15,SMS,Seasonal Sale,Ignored
CT000000171,CUST000006,2025-10-05,Social Ads,Health Bundle Offer,Ignored
CT000000172,CUST000006,2023-05-09,SMS,Health Bundle Offer,Ignored
CT000000173,CUST000006,2023-12-18,Push,Seasonal Sale,Ignored
CT000000174,CUST000006,2024-12-15,Push,Seasonal Sale,Ignored
CT000000175,CUST000006,2023-02-27,WhatsApp,New Launch Promo,Ignored
CT000000176,CUST000007,2025-04-16,Social Ads,Subscribe & Save,Ignored
CT000000177,CUST000007,2023-03-05,Push,Weekend Deal,Ignored
CT000000178,CUST000007,2024-04-26,WhatsApp,Seasonal Sale,Ignored
CT000000179,CUST000007,2023-03-07,Email,Cart Abandon Reminder,Ignored
CT000000180,CUST000007,2024-02-07,Email,Loyalty Bonus,Ignored
CT000000181,CUST000007,2023-03-07,Email,Loyalty Bonus,Ignored
CT000000182,CUST000007,2025-10-28,SMS,Cart Abandon Reminder,Ignored
CT000000183,CUST000007,2023-04-05,Email,Reactivation Offer,Ignored
CT000000184,CUST000007,2024-01-12,Push,Health Bundle Offer,Ignored
CT000000185,CUST000007,2023-05-08,SMS,Health Bundle Offer,Ignored
CT000000186,CUST000007,2024-01-08,Email,Cart Abandon Reminder,Ignored
CT000000187,CUST000007,2023-05-20,Social Ads,Weekend Deal,Ignored
CT000000188,CUST000007,2023-10-04,SMS,Cart Abandon Reminder,Ignored
CT000000189,CUST000007,2024-01-08,Search Ads,Weekend Deal,Ignored
CT000000190,CUST000007,2024-01-15,SMS,Cart Abandon Reminder,Ignored
CT000000191,CUST000007,2025-09-04,Push,Reactivation Offer,Ignored
CT000000192,CUST000007,2025-12-28,Social Ads,Reactivation Offer,Ignored
CT000000193,CUST000007,2023-05-07,Push,Loyalty Bonus,Ignored
CT000000194,CUST000007,2025-09-26,SMS,Health Bundle Offer,Ignored
CT000000195,CUST000007,2024-01-21,Email,Subscribe & Save,Ignored
CT000000196,CUST000007,2023-03-04,Push,Seasonal Sale,Clicked
CT000000197,CUST000007,2023-06-03,Email,Reactivation Offer,Ignored
CT000000198,CUST000007,2023-03-16,Push,Seasonal Sale,Ignored
CT000000199,CUST000007,2025-11-23,Push,Weekend Deal,Ignored
CT000000200,CUST000007,2025-10-08,Email,Reactivation Offer,Ignored
CT000000201,CUST000007,2023-05-31,Social Ads,Cart Abandon Reminder,Ignored
CT000000202,CUST000007,2023-05-26,Push,Health Bundle Offer,Ignored
CT000000203,CUST000007,2025-10-16,Email,Cart Abandon Reminder,Ignored
CT000000204,CUST000007,2023-10-14,Email,Reactivation Offer,Ignored
CT000000205,CUST000007,2024-01-31,Email,Reactivation Offer,Ignored
CT000000206,CUST000008,2023-05-12,Email,Reactivation Offer,Ignored
CT000000207,CUST000008,2023-05-11,Push,Subscribe & Save,Ignored
CT000000208,CUST000008,2025-05-01,SMS,Loyalty Bonus,Ignored
CT000000209,CUST000008,2023-05-29,Email,Weekend Deal,Ignored
CT000000210,CUST000008,2025-10-11,Social Ads,Subscribe & Save,Ignored
CT000000211,CUST000008,2023-05-12,Push,Seasonal Sale,Converted
CT000000212,CUST000008,2025-10-08,Search Ads,Subscribe & Save,Ignored
CT000000213,CUST000008,2023-07-19,Email,Subscribe & Save,Ignored
CT000000214,CUST000008,2025-01-14,Email,Seasonal Sale,Ignored
CT000000215,CUST000008,2024-01-20,Email,Loyalty Bonus,Clicked
CT000000216,CUST000008,2024-01-08,Push,Loyalty Bonus,Ignored
CT000000217,CUST000008,2026-01-17,Email,Reactivation Offer,Ignored
CT000000218,CUST000008,2023-09-19,Email,Subscribe & Save,Ignored
CT000000219,CUST000008,2023-08-17,SMS,Reactivation Offer,Ignored
CT000000220,CUST000008,2023-11-24,SMS,Seasonal Sale,Ignored
CT000000221,CUST000008,2024-05-15,SMS,Cart Abandon Reminder,Ignored
CT000000222,CUST000008,2023-02-26,Email,New Launch Promo,Ignored
CT000000223,CUST000008,2026-01-17,Push,New Launch Promo,Converted
CT000000224,CUST000008,2023-10-17,Email,Subscribe & Save,Ignored
CT000000225,CUST000008,2024-09-12,Email,Health Bundle Offer,Ignored
CT000000226,CUST000008,2024-06-11,Push,Seasonal Sale,Ignored
CT000000227,CUST000008,2023-05-24,Push,Cart Abandon Reminder,Ignored
CT000000228,CUST000008,2023-03-08,Push,Loyalty Bonus,Ignored
CT000000229,CUST000008,2023-05-10,Social Ads,Loyalty Bonus,Ignored
CT000000230,CUST000008,2025-02-26,Email,Health Bundle Offer,Ignored
CT000000231,CUST000008,2023-05-17,Email,Seasonal Sale,Ignored
CT000000232,CUST000008,2023-03-20,Push,Cart Abandon Reminder,Ignored
CT000000233,CUST000008,2024-01-18,Email,Reactivation Offer,Ignored
CT000000234,CUST000008,2024-05-29,Push,Seasonal Sale,Ignored
CT000000235,CUST000008,2023-10-07,Social Ads,Health Bundle Offer,Ignored
CT000000236,CUST000008,2024-01-20,Push,Loyalty Bonus,Ignored
CT000000237,CUST000008,2023-05-11,Email,Reactivation Offer,Ignored
CT000000238,CUST000008,2023-03-13,Push,Reactivation Offer,Ignored
CT000000239,CUST000009,2025-11-05,Email,Subscribe & Save,Ignored
CT000000240,CUST000009,2024-01-16,Search Ads,Subscribe & Save,Ignored
CT000000241,CUST000009,2024-02-05,Email,Reactivation Offer,Ignored
CT000000242,CUST000009,2025-08-07,WhatsApp,Health Bundle Offer,Ignored
CT000000243,CUST000009,2023-03-03,Email,Health Bundle Offer,Ignored
CT000000244,CUST000009,2024-01-25,Push,Weekend Deal,Ignored
CT000000245,CUST000009,2024-01-14,SMS,Loyalty Bonus,Ignored
CT000000246,CUST000009,2023-09-08,Push,Seasonal Sale,Converted
CT000000247,CUST000009,2025-08-17,Push,Loyalty Bonus,Ignored
CT000000248,CUST000009,2025-09-22,SMS,Loyalty Bonus,Ignored
CT000000249,CUST000009,2025-12-25,SMS,Loyalty Bonus,Converted
CT000000250,CUST000009,2024-01-24,Search Ads,Weekend Deal,Ignored
CT000000251,CUST000009,2023-09-17,Email,Seasonal Sale,Ignored
CT000000252,CUST000009,2024-10-07,SMS,Loyalty Bonus,Ignored
CT000000253,CUST000009,2025-04-09,Search Ads,Cart Abandon Reminder,Ignored
CT000000254,CUST000009,2023-05-27,Search Ads,Subscribe & Save,Ignored
CT000000255,CUST000009,2024-01-14,SMS,Health Bundle Offer,Clicked
CT000000256,CUST000009,2024-01-11,Social Ads,Health Bundle Offer,Ignored
CT000000257,CUST000009,2024-01-21,Push,Seasonal Sale,Ignored
CT000000258,CUST000009,2023-04-19,Push,Loyalty Bonus,Ignored
CT000000259,CUST000009,2024-05-24,Email,Weekend Deal,Ignored
CT000000260,CUST000009,2023-05-21,Social Ads,Reactivation Offer,Ignored
CT000000261,CUST000009,2024-01-10,SMS,New Launch Promo,Ignored
CT000000262,CUST000010,2023-05-25,Search Ads,New Launch Promo,Ignored
CT000000263,CUST000010,2026-01-28,SMS,Seasonal Sale,Ignored
CT000000264,CUST000010,2024-07-22,Social Ads,Cart Abandon Reminder,Clicked
CT000000265,CUST000010,2024-10-03,Social Ads,Loyalty Bonus,Ignored
CT000000266,CUST000010,2024-02-01,Social Ads,Loyalty Bonus,Ignored
CT000000267,CUST000010,2023-03-02,SMS,New Launch Promo,Ignored
CT000000268,CUST000010,2025-05-24,Push,New Launch Promo,Ignored
CT000000269,CUST000010,2023-11-25,Push,Reactivation Offer,Ignored
CT000000270,CUST000010,2025-06-16,Email,Seasonal Sale,Ignored
CT000000271,CUST000010,2023-09-15,Social Ads,Weekend Deal,Ignored
CT000000272,CUST000010,2025-01-05,Email,Weekend Deal,Ignored
CT000000273,CUST000010,2024-01-30,Push,Health Bundle Offer,Converted
CT000000274,CUST000010,2025-11-10,SMS,Weekend Deal,Ignored
CT000000275,CUST000010,2025-01-19,SMS,Subscribe & Save,Clicked
CT000000276,CUST000010,2023-08-17,Push,Subscribe & Save,Ignored
CT000000277,CUST000010,2024-01-24,SMS,Loyalty Bonus,Ignored
CT000000278,CUST000010,2023-05-29,Social Ads,Subscribe & Save,Ignored
CT000000279,CUST000010,2023-05-14,Email,Subscribe & Save,Ignored
CT000000280,CUST000010,2025-07-17,Email,Health Bundle Offer,Ignored
CT000000281,CUST000010,2023-02-27,Push,Weekend Deal,Ignored
CT000000282,CUST000010,2023-05-20,WhatsApp,Cart Abandon Reminder,Ignored
CT000000283,CUST000010,2023-05-17,Push,Reactivation Offer,Clicked
CT000000284,CUST000010,2024-06-15,WhatsApp,Weekend Deal,Ignored
CT000000285,CUST000010,2023-05-26,Email,Health Bundle Offer,Ignored
CT000000286,CUST000010,2025-02-27,SMS,New Launch Promo,Ignored
CT000000287,CUST000010,2023-03-06,Push,Health Bundle Offer,Ignored
CT000000288,CUST000010,2025-09-30,Push,Health Bundle Offer,Ignored
CT000000289,CUST000010,2023-10-18,Search Ads,Reactivation Offer,Ignored
CT000000290,CUST000011,2024-02-02,Search Ads,Health Bundle Offer,Ignored
CT000000291,CUST000011,2023-04-01,Social Ads,Seasonal Sale,Ignored
CT000000292,CUST000011,2024-01-04,Search Ads,New Launch Promo,Ignored
CT000000293,CUST000011,2024-10-04,Email,Reactivation Offer,Ignored
CT000000294,CUST000011,2023-03-09,SMS,Subscribe & Save,Ignored
CT000000295,CUST000011,2023-03-11,Email,Subscribe & Save,Ignored
CT000000296,CUST000011,2024-01-20,Search Ads,Subscribe & Save,Converted
CT000000297,CUST000011,2025-03-16,Push,Reactivation Offer,Ignored
CT000000298,CUST000011,2023-05-26,Email,Health Bundle Offer,Ignored
CT000000299,CUST000011,2025-09-19,Push,Loyalty Bonus,Ignored
CT000000300,CUST000011,2023-11-19,Push,Health Bundle Offer,Ignored
CT000000301,CUST000011,2025-09-25,Search Ads,Cart Abandon Reminder,Clicked
CT000000302,CUST000011,2023-05-12,Email,New Launch Promo,Ignored
CT000000303,CUST000011,2023-06-06,Push,Weekend Deal,Ignored
CT000000304,CUST000011,2023-03-24,Push,Cart Abandon Reminder,Converted
CT000000305,CUST000011,2025-11-23,Push,Reactivation Offer,Ignored
CT000000306,CUST000011,2025-07-09,Email,Reactivation Offer,Ignored
CT000000307,CUST000011,2023-05-19,Email,Reactivation Offer,Clicked
CT000000308,CUST000011,2025-07-24,Push,Loyalty Bonus,Ignored
CT000000309,CUST000011,2025-05-30,Push,Loyalty Bonus,Clicked
CT000000310,CUST000011,2025-08-02,Social Ads,Seasonal Sale,Ignored
CT000000311,CUST000011,2024-11-21,Push,Reactivation Offer,Converted
CT000000312,CUST000011,2024-05-23,Email,Reactivation Offer,Ignored
CT000000313,CUST000011,2024-06-27,Email,New Launch Promo,Converted
CT000000314,CUST000012,2023-06-03,Social Ads,Subscribe & Save,Ignored
CT000000315,CUST000012,2023-03-04,Email,Subscribe & Save,Ignored
CT000000316,CUST000012,2024-08-21,SMS,Health Bundle Offer,Ignored
CT000000317,CUST000012,2025-03-12,Email,Subscribe & Save,Ignored
CT000000318,CUST000012,2023-05-26,Search Ads,Weekend Deal,Ignored
CT000000319,CUST000012,2023-09-16,Email,Seasonal Sale,Ignored
CT000000320,CUST000012,2025-02-07,Social Ads,Cart Abandon Reminder,Ignored
CT000000321,CUST000012,2024-02-01,Push,Weekend Deal,Ignored
CT000000322,CUST000012,2024-02-06,WhatsApp,New Launch Promo,Ignored
CT000000323,CUST000012,2023-05-09,Push,Subscribe & Save,Converted
CT000000324,CUST000012,2026-01-20,SMS,Weekend Deal,Ignored
CT000000325,CUST000012,2023-05-16,WhatsApp,Reactivation Offer,Ignored
CT000000326,CUST000012,2023-05-31,Email,Seasonal Sale,Ignored
CT000000327,CUST000012,2025-12-30,Social Ads,Weekend Deal,Ignored
CT000000328,CUST000012,2025-01-03,Email,New Launch Promo,Ignored
CT000000329,CUST000012,2024-09-14,SMS,Health Bundle Offer,Ignored
CT000000330,CUST000012,2026-01-28,WhatsApp,Loyalty Bonus,Ignored
CT000000331,CUST000012,2024-05-04,SMS,New Launch Promo,Ignored
CT000000332,CUST000012,2024-01-18,WhatsApp,Reactivation Offer,Ignored
CT000000333,CUST000012,2025-02-28,Email,Health Bundle Offer,Ignored
CT000000334,CUST000012,2023-05-08,SMS,Seasonal Sale,Ignored
CT000000335,CUST000012,2023-05-10,SMS,Subscribe & Save,Ignored
CT000000336,CUST000012,2024-05-13,Push,Cart Abandon Reminder,Ignored
CT000000337,CUST000012,2023-03-06,Social Ads,Cart Abandon Reminder,Ignored
CT000000338,CUST000012,2023-03-03,Social Ads,Reactivation Offer,Ignored
CT000000339,CUST000012,2023-06-02,Search Ads,Health Bundle Offer,Ignored
CT000000340,CUST000013,2023-05-24,Push,Health Bundle Offer,Ignored
CT000000341,CUST000013,2025-01-23,Email,Loyalty Bonus,Ignored
CT000000342,CUST000013,2025-01-30,SMS,Weekend Deal,Ignored
CT000000343,CUST000013,2024-01-10,Social Ads,Health Bundle Offer,Ignored
CT000000344,CUST000013,2025-01-11,Search Ads,Cart Abandon Reminder,Ignored
CT000000345,CUST000013,2023-05-24,Email,Loyalty Bonus,Clicked
CT000000346,CUST000013,2023-05-23,Search Ads,New Launch Promo,Ignored
CT000000347,CUST000013,2023-05-18,Push,Loyalty Bonus,Ignored
CT000000348,CUST000013,2024-07-25,Email,Loyalty Bonus,Clicked
CT000000349,CUST000013,2023-03-06,Email,Seasonal Sale,Ignored
CT000000350,CUST000013,2025-09-19,Email,Weekend Deal,Ignored
CT000000351,CUST000013,2023-08-26,Search Ads,Weekend Deal,Ignored
CT000000352,CUST000013,2023-03-09,Push,Subscribe & Save,Ignored
CT000000353,CUST000013,2023-03-25,Email,Reactivation Offer,Ignored
CT000000354,CUST000013,2025-07-03,Push,Loyalty Bonus,Ignored
CT000000355,CUST000013,2023-05-14,SMS,Seasonal Sale,Ignored
CT000000356,CUST000013,2023-05-24,Push,Reactivation Offer,Ignored
CT000000357,CUST000013,2025-12-21,WhatsApp,Loyalty Bonus,Ignored
CT000000358,CUST000013,2024-01-09,Search Ads,Health Bundle Offer,Ignored
CT000000359,CUST000013,2023-05-31,Email,Loyalty Bonus,Ignored
CT000000360,CUST000013,2024-04-02,Email,Health Bundle Offer,Ignored
CT000000361,CUST000013,2024-09-24,Email,Cart Abandon Reminder,Ignored
CT000000362,CUST000013,2023-10-22,Search Ads,Reactivation Offer,Ignored
CT000000363,CUST000013,2025-09-02,SMS,Reactivation Offer,Converted
CT000000364,CUST000013,2026-02-16,SMS,Subscribe & Save,Ignored
CT000000365,CUST000013,2023-03-12,Email,Seasonal Sale,Ignored
CT000000366,CUST000013,2023-10-06,Push,Loyalty Bonus,Ignored
CT000000367,CUST000013,2023-03-19,Search Ads,Cart Abandon Reminder,Ignored
CT000000368,CUST000014,2023-03-01,Email,New Launch Promo,Ignored
CT000000369,CUST000014,2024-06-10,Email,Seasonal Sale,Ignored
CT000000370,CUST000014,2024-01-27,WhatsApp,Health Bundle Offer,Ignored
CT000000371,CUST000014,2025-07-08,Push,Cart Abandon Reminder,Ignored
